id,feedback
1,The new dashboard loads incredibly fast and the charts are beautiful
2,"I love how quick the app feels now, after the latest update"
3,"Performance has improved a lot, pages render almost instantly"
4,"The speed of the application is fantastic, and very responsive"
5,"Everything loads so fast now, great job on the optimization"
6,"Snappy and responsive, the load times are excellent"
7,"The interface is fast and smooth, really impressive performance"
8,"Page speed is amazing, no more waiting around for things to load"
9,Billing is confusing and I was charged twice for my subscription
10,"The pricing page is unclear, and my invoice had unexpected fees"
11,"I got double charged this month, and support has not refunded me"
12,"The subscription cost went up without any notice, very frustrating"
13,Payment failed three times and the billing error messages are useless
14,My credit card was charged incorrectly and the invoice is wrong
15,The cost structure is opaque and the billing portal keeps erroring
16,Refund process for the overcharge has been slow and painful
17,Support replied within minutes and solved my problem right away
18,"The help desk team was friendly, patient, and genuinely helpful"
19,Customer service walked me through the setup step by step
20,I reached out to support and they resolved my issue same day
21,The onboarding chat agent was knowledgeable and very kind
22,"Great support experience, they followed up to make sure it worked"
